Entity,Code,Year,Share under $2 per day,Share under $20 per day,Share under $5 per day,Share under $10 per day,Share under $5.2 a day (roughly equivalent to the international poverty line)
Morocco,MAR,1870,59.4444739907044,99.6844333731925,89.0786799362946,97.6200869041819,89.85216702911
Morocco,MAR,1890,43.8694426673764,99.9624106095849,89.4013119084544,98.9529841040318,90.4594896690049
Morocco,MAR,1910,43.8134944056304,99.7517425230975,84.7126499234258,97.2364293532073,85.8743343899621
Morocco,MAR,1929,30.0953649599889,98.9983670682918,72.9543463156215,92.9027202428476,74.5351741252211
Morocco,MAR,1950,10.3356645275312,97.5211494686439,50.8456682330761,83.949816182255,53.0351377502721
Morocco,MAR,1960,88.2056509259865,97.3592898198394,93.112545212112,95.6397683067185,93.2805895120492
Morocco,MAR,1970,79.0167854126842,95.5114183942186,87.7181316891093,92.3470195888629,88.0235326823034
Morocco,MAR,1980,16.5395868143513,88.3102061911671,45.5525382474589,70.5216006853156,47.0160084986487
Morocco,MAR,1990,17.5329519596295,85.7746525031121,44.5904910105682,67.9792120656393,45.9423122265024
Morocco,MAR,2000,14.3031122894715,82.8134033783374,39.5311756243035,63.3319501970581,40.8578777586422
Morocco,MAR,2005,10.9792970709769,78.4286154401243,33.5044025673522,57.1565758936991,34.7634205511402
Morocco,MAR,2010,8.10897704863927,73.1300111893999,27.5548467529229,50.411553292888,28.7125106076562
Morocco,MAR,2017,6.00439256704947,67.7286211977368,22.5802036658688,44.1838339159969,23.6246301187545
Mozambique,MOZ,1820,37.2368528975714,97.6420536070365,72.368925544533,90.1362351915315,73.6695627585825
Mozambique,MOZ,1850,36.7075870532809,98.8320885233243,75.737205025071,93.0922815379896,77.1041849040436
Mozambique,MOZ,1870,35.0978922054678,97.0687463784315,69.920198487422,88.6197375348014,71.2544976949522
Mozambique,MOZ,1890,17.2443105621111,98.6050656297646,62.0302458636743,89.4804616392658,64.0507448851074
Mozambique,MOZ,1910,20.681585776819,98.4718424317522,64.3725519287082,89.716730046022,66.2464376404844
Mozambique,MOZ,1929,26.751521397948,98.311402435853,68.1270882353808,90.2687815885738,69.776396860075
Mozambique,MOZ,1950,21.6268330014938,98.5846428060601,65.5477703526108,90.2611720492857,67.3960138922812
Mozambique,MOZ,1960,37.0709984613661,95.0083316728991,67.5880834270659,85.3356110447389,68.7884422875344
Mozambique,MOZ,1970,28.6400214362427,92.0981365924291,58.7941314316351,79.302949843014,60.0987560676693
Mozambique,MOZ,1980,39.8173111294886,95.7061265421944,70.1287042166267,86.9245433425768,71.2859358782432
Mozambique,MOZ,1990,42.8542067003673,96.3716811811931,72.7774910142845,88.5090026932526,73.8832075847248
Mozambique,MOZ,2000,56.7218844622401,98.321222300019,82.833414266478,93.7775883372077,83.6683204334653
Mozambique,MOZ,2005,59.2465872468695,98.5752218374276,84.4341749377108,94.5359089272546,85.2170827909485
Mozambique,MOZ,2010,63.8484604844955,98.984134225365,87.2182984761889,95.8059948409727,87.9051614432562
Mozambique,MOZ,2017,58.5629442950404,98.5457814413369,84.1024231996356,94.413990311061,84.9002408510775
Myanmar,MMR,1820,64.3332430721651,99.7615248068804,91.0566622135552,98.1384755658006,91.7136669874027
Myanmar,MMR,1850,54.1902929106042,99.9989734248152,96.0642658247343,99.8687779572779,96.6296156469345
Myanmar,MMR,1870,62.7124979187972,99.8543341333231,91.617288984137,98.530665256607,92.2915811014682
Myanmar,MMR,1890,41.7786089576554,99.9849562802707,90.5477352271726,99.3129759495568,91.5977344602512
Myanmar,MMR,1910,52.4219837187251,99.8438512488904,88.7364786303175,98.1419896615056,89.65143346769
Myanmar,MMR,1929,36.8574951960056,99.1786317611242,77.4184884045182,94.2485922241808,78.7937298778994
